id,name,brand,original_price,discount,current_price,discount_rate,quantity_sold,rating_average,product_review_count,seller_id,seller_name,days_since_joined,seller_rating_average,is_official,seller_review_count,total_follower
31638135,"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear - Màu ngẫu nhiên",MRM Manlywear,340000,85000,255000,25,4290,4.7,1168,55147,MRM Manlywear Official,1415,4.7072,True,11641,2949
98942159,"Combo 4 quần đùi nam thể thao Sport ngắn, quần short nam vải Thun Poly 2 Da thoáng mát, chất liệu hút ẩm, độ co giãn tốt",AK Corner,490000,245000,245000,50,2163,4.6,800,175215,A K CORNER,787,4.6183,True,1433,245
79435123,"Áo chống nắng nam cao cấp, thông hơi, chống nắng, chống tia UV, chống bám bụi – FORMEN SHOP – FMTHT024",OEM,215000,100000,115000,47,1013,4.7,264,17914,FORMEN SHOP,1602,4.5444,False,4565,2042
31637590,Combo 4 quần lót nam tam giác Bamboo Organic mềm mịn thoáng mát thấm hút mồ hôi - MRM Manlywear - Màu Ngẫu Nhiên,MRM Manlywear,340000,91000,249000,27,2769,4.7,764,55147,MRM Manlywear Official,1415,4.7072,True,11641,2949
154298071,"Combo 2 quần đùi nam, quần Short Gió nam thể thao Họa Tiết Rằn Ri trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,399000,130000,269000,33,543,5.0,171,55147,MRM Manlywear Official,1415,4.7072,True,11641,2949
196313090,"Áo khoác dù chống nắng nam, có 3 ngăn túi khóa kéo nón có thể tách rời tiện lợi - FORMENSHOP - FMTHT050",ARADO FASHION,300000,153000,147000,51,27,4.8,9,17914,FORMEN SHOP,1602,4.5444,False,4565,2042
73214429,Áo Khoác Nam Áo Khoác Dù Nam Nữ Hai Lớp Chống Nước Chống Nắng Chống Gió Phối Nón Cao Cấp QD54 - ShopN6 (Nhiều Màu),N6,189000,67000,122000,35,390,4.6,165,28688,ShopN6,1519,4.1962,False,5407,698
169331344,Áo chống nắng nam sọc tay mới 5 màu thun lạnh thoáng mát chống tia UV cao cấp Micado,Micado,180000,61000,119000,34,48,5.0,12,4055,Venado,1759,4.2558,False,692,147
4027231,Áo Khoác Dù Nam Phối Dây Kéo - K2015,OEM,124000,0,124000,0,507,3.9,113,57049,Xưởng May Thời Trang Nguyễn Hùng,1421,3.8777,False,3441,571
176250783,Áo thun nam Cotton Compact Premium trẻ trung năng động thấm hút mồ hôi co giãn 4 chiều MRM Manlywear,MRM Manlywear,249000,110000,139000,44,500,5.0,111,55147,MRM Manlywear Official,1415,4.7072,True,11641,2949
99958075,"Quần đùi short gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,199000,70000,129000,35,2208,4.7,453,55147,MRM Manlywear Official,1415,4.7072,True,11641,2949
172210350,"Hộp 4 quần boxer nam thun lạnh, quần lót nam co dãn 4 chiều- Formen Shop- FMQS017",ARADO FASHION,199000,41000,158000,21,629,4.8,160,17914,FORMEN SHOP,1602,4.5444,False,4565,2042
